Date,SPY,QQQ,AAPL,MSFT,GOOG,AMZN
12/30/14,207.6,104.32,28.13,47.02,528.97,15.52
12/29/14,208.72,105.02,28.48,47.45,528.88,15.6
12/26/14,208.44,105.04,28.5,47.88,532.57,15.45
12/24/14,207.77,104.3,28,48.14,527.32,15.15
12/23/14,207.75,104.21,28.14,48.45,529.14,15.31
12/22/14,207.47,104.58,28.24,47.98,523.43,15.33
12/19/14,206.52,104.32,27.95,47.66,514.94,15
12/18/14,206.78,104.25,28.16,47.52,509.7,14.89
12/17/14,201.79,101.8,27.35,45.74,503.51,14.94
12/16/14,197.91,99.98,26.69,45.16,494.03,14.75
12/15/14,199.51,101.61,27.06,46.67,512.39,15.3
12/12/14,200.89,102.67,27.43,46.95,517.24,15.37
12/11/14,204.19,103.8,27.91,47.17,526.89,15.37
12/10/14,203.16,103.31,27.99,46.9,524.62,15.29
12/9/14,206.47,104.96,28.53,47.59,531.91,15.63
12/8/14,206.61,104.63,28.1,47.7,525.54,15.33
12/5/14,208,105.38,28.75,48.42,523.82,15.63
12/4/14,207.66,105.37,28.87,48.84,535.84,15.85
12/3/14,207.89,105.42,28.98,48.08,529.86,15.83
12/2/14,207.09,105.23,28.66,48.46,532.29,16.32
12/1/14,205.76,104.81,28.77,48.62,532.34,16.3
11/28/14,207.2,106.01,29.73,47.81,540.35,16.93
11/26/14,207.64,105.52,29.75,47.75,538.89,16.68
11/25/14,207.11,104.84,29.4,47.47,539.6,16.75
11/24/14,207.26,104.68,29.66,47.59,537.79,16.78
11/21/14,206.68,103.87,29.12,47.98,536.03,16.63
11/20/14,205.58,103.67,29.08,48.7,533.37,16.53
11/19/14,205.22,103.21,28.67,48.22,535.52,16.33
11/18/14,205.55,103.68,28.87,48.74,533.56,16.25
11/17/14,204.37,102.91,28.5,49.46,535.04,16.15
11/14/14,204.24,103.22,28.55,49.58,542.91,16.39
11/13/14,204.19,102.9,28.21,49.61,543.89,15.82
11/12/14,203.96,102.46,27.81,48.78,545.81,15.58
11/11/14,204.18,102.28,27.43,48.87,548.78,15.6
11/10/14,203.98,101.96,27.21,48.89,545.99,15.26
11/7/14,203.34,101.6,27.25,48.68,539.53,14.99
11/6/14,203.15,101.69,27.18,48.7,540.56,14.83
11/5/14,202.34,101.37,27.22,47.86,544.43,14.83
11/4/14,201.07,101.36,27.15,47.57,552.59,15.14
11/3/14,201.77,101.7,27.35,47.44,553.7,15.29
10/31/14,201.66,101.4,27,46.95,557.55,15.27
10/30/14,199.38,100.02,26.75,46.05,548.8,14.95
10/29/14,198.11,99.81,26.84,46.62,547.83,14.71
10/28/14,198.41,100.18,26.69,46.49,547.4,14.78
10/27/14,196.16,98.69,26.28,45.91,539.29,14.5
10/24/14,196.43,98.62,26.31,46.13,538.3,14.35
10/23/14,194.93,97.82,26.21,45.02,542.49,15.66
10/22/14,192.69,96.37,25.75,44.38,531.25,15.65
10/21/14,194.07,96.87,25.62,44.88,525.1,15.77
10/20/14,190.3,94.39,24.94,44.08,519.41,15.31
10/17/14,188.47,93,24.42,43.63,509.77,15.18
10/16/14,186.27,91.79,24.07,42.74,523.07,15.14
10/15/14,186.43,92.37,24.39,43.22,528.58,15.3
10/14/14,187.7,92.97,24.69,43.73,536.47,15.42
10/13/14,187.41,92.96,24.95,43.65,531.75,15.32
10/10/14,190.54,94.44,25.18,44.03,543,15.57
10/9/14,192.74,96.86,25.26,45.85,559.34,15.77
10/8/14,196.64,98.45,25.2,46.78,570.93,16.14
10/7/14,193.26,96.57,24.69,45.53,562.2,15.85
10/6/14,196.29,97.96,24.91,46.09,575.77,16.11
10/3/14,196.52,98.17,24.91,46.09,573.71,16.14
10/2/14,194.38,97.21,24.98,45.76,568.52,15.92
10/1/14,194.35,97.21,24.8,45.9,566.71,15.87
9/30/14,197.02,98.79,25.19,46.36,575.78,16.12
9/29/14,197.54,98.65,25.03,46.44,574.78,16.09
9/26/14,197.9,98.78,25.19,46.41,575.52,16.16
9/25/14,196.34,97.74,24.47,46.04,573.49,16.1
9/24/14,199.56,99.84,25.44,47.08,586.38,16.41
9/23/14,198.01,98.78,25.66,46.56,579.54,16.18
9/22/14,199.15,99.05,25.27,47.06,585.76,16.23
9/19/14,200.7,99.98,25.24,47.52,594.45,16.57
9/18/14,201.82,100.28,25.45,46.68,587.66,16.25
9/17/14,200.75,99.53,25.4,46.52,583.17,16.2
9/16/14,200.48,99.38,25.22,46.76,578.36,16.39
9/15/14,198.98,98.52,25.41,46.24,571.53,16.19
9/12/14,199.13,99.48,25.42,46.7,574.04,16.56
9/11/14,200.3,99.99,25.36,47,579.76,16.53
9/10/14,200.07,100.07,25.25,46.84,581.5,16.57
9/9/14,199.32,99.25,24.5,46.76,579.42,16.49
9/8/14,200.59,100.08,24.59,46.47,588.1,17.12
